"name"	"confidence"	"experimentName"	"inchi"	"inchikey2D"	"links"	"molecularFormula"	"name"	"pubchemids"	"rank"	"score"	"smiles"	"source"	"xlogp"
"19"	"0.0"	""	"InChI=1S/C4H9N/c1-4-5(2)3/h1H,4H2,2-3H3"	"ZJPHWWZDVUXTQB"	""	"C4H9N"	"19"	"60038820"	"1"	"-70.68700535134866"	"[CH]CN(C)C"	"2_tmpspec"	""
"19"	""	""	"InChI=1S/C4H9N/c1-4-5(2)3/h1H,4H2,2-3H3"	"ZJPHWWZDVUXTQB"	""	"C4H9N"	"19"	"60038820"	"1"	"-70.68700535134866"	"[CH]CN(C)C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4-5-2/h2,5H,3-4H2,1H3"	"MUCBLZHKHPSJOO"	""	"C4H9N"	"19"	"60038887"	"2"	"-83.7833093385019"	"CCCN[CH]"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-3-4-5/h5H,1-4H2"	"NAGCNCNCYJFFBC"	""	"C4H9N"	"19"	"53627443"	"3"	"-88.66299449896108"	"[CH2+]CCC[NH-]"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-3-4-5/h1H,2-5H2"	"ZLCQVFKSDILJMN"	""	"C4H9N"	"19"	"59559840"	"4"	"-88.69141570632104"	"[CH]CCCN"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2)5-3/h3-5H,1-2H3"	"DXVBSZGCMRGPNU"	""	"C4H9N"	"19"	"57540991"	"5"	"-89.23059868750902"	"CC(C)N[CH]"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4-5(2)3/h2H,4H2,1,3H3"	"WPRNYFQRPBTTMU"	""	"C4H9N"	"19"	"12979488"	"6"	"-92.9981769597784"	"CCN(#C)C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2)5-3/h1-3H3"	"GPASKFIFXOCRNP"	""	"C4H9N"	"19"	"138743;18682374"	"7"	"-98.14141702223777"	"CC(=NC)C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2)5-3/h4H,3H2,1-2H3"	"MGKTYORWSGVLRD"	""	"C4H9N"	"19"	"12108316;57862927"	"8"	"-101.5998185998089"	"CC(C)N=C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4-5-2/h2-4H2,1H3"	"IGPVHWXJXDFSIH"	""	"C4H9N"	"19"	"12355447;101744171"	"9"	"-112.01944274189756"	"CCCN=C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4-5(2)3/h4H,2H2,1,3H3"	"PHGNPITXCCSZQY"	""	"C4H9N"	"19"	"18735596"	"10"	"-113.90668312831474"	"CC=N(=C)C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-5-4-2/h1,5H,3-4H2,2H3"	"RBZIKWKKJZYENC"	""	"C4H9N"	"19"	"60038853"	"11"	"-115.09845573721091"	"[CH]CNCC"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-3-4-5/h2H,1,3-5H2"	"ASVKKRLMJCWVQF"	"CHEBI:(31108);KEGG:(C12244)"	"C4H9N"	"19"	"443732;6992082"	"12"	"-119.78401855410773"	"C=CCCN"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-5-3-2-4-5/h2-4H2,1H3"	"WWYVZTLIFYLZFM"	""	"C4H9N"	"19"	"138389;22590136"	"13"	"-121.72574592238604"	"CN1CCC1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4-5(2)3/h4H,1H2,2-3H3"	"NINOYJQVULROET"	""	"C4H9N"	"19"	"521812;101991704"	"14"	"-122.81506470776591"	"C=CN(C)C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4-5-2/h3-5H,1-2H3"	"RASLIQQQAJRCPM"	""	"C4H9N"	"19"	"12676328;21718317;54205116;54549737"	"15"	"-123.54785542376521"	"CC=CNC"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4(2)5-3/h3-5H,1-2H3"	"DNPSMEGHIHDFAJ"	""	"C4H9N"	"19"	"52161;12207121;12207122;12207123"	"16"	"-124.46726037704771"	"CC1C(C)N1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-5-4-2/h3H,4H2,1-2H3"	"ARYPXRGDKSAXBV"	""	"C4H9N"	"19"	"136926"	"17"	"-124.60678110310283"	"CC=NCC"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2,3)5/h1-3H3"	"MMMVJDFEFZDIIM"	""	"C4H9N"	"19"	"57710073"	"18"	"-124.8810262692841"	"CC(C)(C)[N]"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4-5-2/h4H,3H2,1-2H3"	"JKHYHXBLSTVHIA"	""	"C4H9N"	"19"	"12355454"	"19"	"-125.43742264482785"	"CCC=NC"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2)3-5/h1,4H,3,5H2,2H3"	"BRSQRHPGAINJPZ"	""	"C4H9N"	"19"	"59872487"	"20"	"-127.06580752757087"	"[CH]C(C)CN"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2)3-5/h3-5H,1-2H3"	"MWIRQVRILGQXFA"	""	"C4H9N"	"19"	"17567"	"21"	"-128.92708836426405"	"CC(C)C=N"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4-5-2/h3,5H,1,4H2,2H3"	"IOXXVNYDGIXMIP"	""	"C4H9N"	"19"	"69391;37888249"	"22"	"-131.35544593845185"	"C=CCNC"	""	""
"19"	""	""	"InChI=1S/C4H9N/c5-4-2-1-3-4/h4H,1-3,5H2"	"KZZKOVLJUKWSKX"	""	"C4H9N"	"19"	"75645;6994063"	"23"	"-131.83625011532723"	"C1CC(C1)N"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4(2)5/h5H,3H2,1-2H3"	"BMMKPGVCTLTADE"	""	"C4H9N"	"19"	"12355452"	"24"	"-132.31359036777442"	"CCC(=N)C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-3-4-5/h4-5H,2-3H2,1H3"	"UOFFEDRAIFYOBS"	""	"C4H9N"	"19"	"12299660"	"25"	"-133.55425267953743"	"CCCC=N"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-3-4-5/h2-3H,4-5H2,1H3"	"QFUSOYKIDBRREL"	""	"C4H9N"	"19"	"30447;6433772;12602975;38988488"	"26"	"-134.40425267972466"	"CC=CCN"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2)3-5/h3H,5H2,1-2H3"	"NYTPAANIMXKHJA"	""	"C4H9N"	"19"	"12400994"	"27"	"-134.71164588297032"	"CC(=CN)C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2,3)5/h5H,1H2,2-3H3"	"VZZYSPYBDCSVBX"	""	"C4H9N"	"19"	"53628171"	"28"	"-134.99318918334913"	"[CH2+]C(C)(C)[NH-]"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2)3-5-4/h5H,3H2,1-2H3"	"FGRJGEWVJCCOJJ"	""	"C4H9N"	"19"	"227244;51380949"	"29"	"-135.4992282772835"	"CC1(C)CN1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-4-5-3-1/h5H,1-4H2"	"RWRDLPDLKQPQOW"	"HMDB:(31641);Natural Products:(UNPD154562);CHEBI:(33135 52145);HSDB:(123-75-1);Plantcyc:(PYRROLIDINE);Biocyc:(PYRROLIDINE)"	"C4H9N"	"19"	"31268;3613359;11062297;12196044;12196046;12196049;12196050;18440991;20463768;53660610;57608708;57608709;57608710;57750053;60135501;90927493;91312985"	"30"	"-136.14546214244544"	"C1CCNC1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4-3-5(4)2/h4H,3H2,1-2H3"	"LDUKCCKFNKIVMS"	""	"C4H9N"	"19"	"544638;12695792;58992018;59383272;91746719"	"31"	"-137.4216114839502"	"CC1CN1C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-4-5-3-1/h3H,1-2,4-5H2"	"JBQHOIKPPUUQPM"	""	"C4H9N"	"19"	"59470203"	"32"	"-137.6176829263568"	"C1CC[NH2]=C1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-5-3-2-4-5/h5H,1-4H2"	"FIKGMJLGDZTQOT"	""	"C4H9N"	"19"	"59085962"	"33"	"-138.14779811296475"	"C=N1CCC1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-5-3-4-5/h2-4H2,1H3"	"UJGVUACWGCQEAO"	""	"C4H9N"	"19"	"150876"	"34"	"-138.9194376017772"	"CCN1CC1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2)3-5/h1,3,5H2,2H3"	"VXDHQYLFEYUMFY"	""	"C4H9N"	"19"	"76141;6993768"	"35"	"-140.51602246381205"	"C=C(C)CN"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-3-4-5/h3-4H,2,5H2,1H3"	"SZOLUXDHHKCYKT"	""	"C4H9N"	"19"	"12415240;53775721"	"36"	"-143.22311719191276"	"CCC=CN"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4(2)5/h3-4H,1,5H2,2H3"	"JDCBWJCUHSVVMN"	""	"C4H9N"	"19"	"10034575;15584178;21082342;21678404"	"37"	"-144.29915480308134"	"C=CC(C)N"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(2)5-3/h5H,1H2,2-3H3"	"UFTYMTQJLHYMIT"	""	"C4H9N"	"19"	"11007812;58091792"	"38"	"-146.05355544524727"	"C=C(C)NC"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-5-4-2-3-4/h4-5H,2-3H2,1H3"	"VEBLEROFGPOMPB"	""	"C4H9N"	"19"	"11029756;25312304;101128810;101128811;101128812"	"39"	"-146.71439248246378"	"CNC1CC1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-2-4-3-5-4/h4-5H,2-3H2,1H3"	"CSWPOLMVXVBCSV"	""	"C4H9N"	"19"	"17352;15621247;15621248"	"40"	"-148.07586458037255"	"CCC1CN1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c5-3-4-1-2-4/h4H,1-3,5H2"	"IGSKHXTUVXSOMB"	""	"C4H9N"	"19"	"75646;6994192"	"41"	"-148.09449251668423"	"C1CC1CN"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-5-4-2/h3,5H,1,4H2,2H3"	"AZDJPUNWDYYMIK"	""	"C4H9N"	"19"	"11240422"	"42"	"-152.17130600638757"	"C=CNCC"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4-2-5-3-4/h4-5H,2-3H2,1H3"	"HTHMVKNHGOVITA"	""	"C4H9N"	"19"	"19995942;57662830"	"43"	"-153.8739605005491"	"CC1CNC1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4-5-2/h3H,1-2,4-5H2"	"MHFCXBOHSZYNGQ"	""	"C4H9N"	"19"	"20723401"	"44"	"-155.5140942800046"	"C=CC[NH2]=C"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4(2)5/h3H,5H2,1-2H3"	"KZFUWRMVPLBQKD"	""	"C4H9N"	"19"	"6713387;12603154;12603155"	"45"	"-161.22980984028743"	"CC=C(C)N"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-5-4-2-3-4/h4H,1-3,5H2"	"QXOHCDQOMKVVHO"	""	"C4H9N"	"19"	"20723428"	"46"	"-164.61626373676563"	"C=[NH2]C1CC1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-2-4(3)5/h3-4H,2,5H2,1H3"	"PYTANBUURZFYHD"	""	"C4H9N"	"19"	"12953690;12953691;51723332;51723334;51723337"	"47"	"-169.08314628287513"	"CC1CC1N"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4-2-3-5-4/h4-5H,2-3H2,1H3"	"DLBWPRNUXWYLRN"	""	"C4H9N"	"19"	"533460;21041484;28901581;126456233"	"48"	"-175.62050447164037"	"CC1CCN1"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-4(5)2-3-4/h2-3,5H2,1H3"	"VSRXAWSAKJABKW"	""	"C4H9N"	"19"	"11651149;51900963;121398586"	"49"	"-180.79296153391095"	"CC1(CC1)N"	""	""
"19"	""	""	"InChI=1S/C4H9N/c1-3-4(2)5/h2-3,5H2,1H3"	"ZUCWUADHUDQXHX"	""	"C4H9N"	"19"	"19910925"	"50"	"-182.5359686818849"	"CCC(=C)N"	""	""
"19"	"0.0"	""	"InChI=1S/C2H6OS/c1-4(2)3/h1-2H3"	"IAZDPXIOMUYVGZ"	"HMDB:(2151);Natural Products:(UNPD148866);CHEBI:(28262);Maconda:(CON00016);HSDB:(67-68-5);KEGG:(C11143);Plantcyc:(DMSO);Biocyc:(DOH-ISO-VAL DMSO)"	"C2H6OS"	"19"	"679;75151;10103116;12206145;12264368;18594457;20151975;21022526;22345572;57247813;71309204;76973052;90811807;90817578"	"1"	"-86.79174845072117"	"CS(=O)C"	"4_tmpspec"	""
"19"	""	""	"InChI=1S/C2H6OS/c1-4(2)3/h1-2H3"	"IAZDPXIOMUYVGZ"	"HMDB:(2151);Natural Products:(UNPD148866);CHEBI:(28262);Maconda:(CON00016);HSDB:(67-68-5);KEGG:(C11143);Plantcyc:(DMSO);Biocyc:(DOH-ISO-VAL DMSO)"	"C2H6OS"	"19"	"679;75151;10103116;12206145;12264368;18594457;20151975;21022526;22345572;57247813;71309204;76973052;90811807;90817578"	"1"	"-86.79174845072117"	"CS(=O)C"	""	""
"19"	""	""	"InChI=1S/C2H6OS/c1-3-4-2/h1-2H3"	"BGTMJCYYKAHCFQ"	""	"C2H6OS"	"19"	"13422385;59113301;59914294"	"2"	"-127.7545336901184"	"COSC"	""	""
"19"	""	""	"InChI=1S/C2H6OS/c1-4(2)3/h3H,1H2,2H3"	"XMEVKHUHAKYRKU"	""	"C2H6OS"	"19"	"59903174;102212221;102302386"	"3"	"-129.2441781413366"	"C=S(C)O"	""	""
"19"	""	""	"InChI=1S/C2H6OS/c1-3(2)4/h1-2H3"	"PBGIVFHXQAXFPO"	""	"C2H6OS"	"19"	"100975342"	"4"	"-150.1344236391008"	"C[O+](C)[S-]"	""	""
"19"	""	""	"InChI=1S/C2H6OS/c1-2-4-3/h4H,2H2,1H3"	"PAWYOSHGFARYKR"	""	"C2H6OS"	"19"	"18594370"	"5"	"-166.04324780757383"	"CCS=O"	""	""
"19"	""	""	"InChI=1S/C2H6OS/c1-2-4-3/h3H,2H2,1H3"	"HRKZEUPYFXLVQW"	"Plantcyc:(CPD-9311);Biocyc:(CPD-9311)"	"C2H6OS"	"19"	"13710589"	"6"	"-181.9764102773175"	"CCSO"	""	""
"19"	""	""	"InChI=1S/C2H6OS/c1-4-2-3/h3H,2H2,1H3"	"ZSSFPSNLAUYOFG"	""	"C2H6OS"	"19"	"13637593"	"7"	"-185.97929736615467"	"CSCO"	""	""
"19"	""	""	"InChI=1S/C2H6OS/c1-3-2-4/h4H,2H2,1H3"	"MJGXOSYVWHETDC"	""	"C2H6OS"	"19"	"9940735;101935093"	"8"	"-187.14245028187838"	"COCS"	""	""
"19"	""	""	"InChI=1S/C2H6OS/c1-2-3-4/h4H,2H2,1H3"	"FRGKKTITADJNOE"	""	"C2H6OS"	"19"	"19899959;101948030"	"9"	"-207.66887085513653"	"CCOS"	""	""
"19"	""	""	"InChI=1S/C2H6OS/c3-1-2-4/h3-4H,1-2H2"	"DGVVWUTYPXICAM"	"HSDB:(60-24-2);KEGG:(C00928);Plantcyc:(2-MERCAPTOETHANOL);Biocyc:(2-MERCAPTOETHANOL)"	"C2H6OS"	"19"	"1567;446921;20354676;53759477;71308868;71309111;71310253;101872627"	"10"	"-224.36481982871055"	"C(CS)O"	""	""
